route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
400 - Cumming to Downtown,A,400 - Cumming - 1540,PM,0,,Downtown to Cumming (PM)_Mar 18 2019  9:45:00:820AM
400 - Cumming to Downtown,A,400 - Cumming - 1610,PM,0,,Downtown to Cumming (PM)_Mar 18 2019  9:45:00:820AM
400 - Cumming to Downtown,A,400 - Cumming - 1710,PM,0,,Downtown to Cumming (PM)_Mar 18 2019  9:45:00:820AM
400 - Cumming to Downtown,A,400 - Downtown - 0540,AM,0,,Cumming to Downtown (AM)_Oct  3 2018  3:04:33:950PM
400 - Cumming to Downtown,A,400 - Downtown - 0630,AM,0,,Cumming to Downtown (AM)_Oct  3 2018  3:04:33:950PM
400 - Cumming to Downtown,A,400 - Downtown - 0700 - Copy,AM,0,,Cumming to Downtown (AM)_Oct  3 2018  3:04:33:950PM
400 - Cumming to Downtown,A,400 - Downtown - 0700,AM,0,,Cumming to Downtown (AM)_Oct  3 2018  3:04:33:950PM
401 - Cumming to Perimeter,A,401 - Cumming - 1630,PM,0,,Perimeter to Cumming (PM)
401 - Cumming to Perimeter,A,401 - Cumming - 1730,PM,0,,Perimeter to Cumming (PM)
401 - Cumming to Perimeter,A,401 - Cumming - 1835,PM,0,,Perimeter to Cumming (PM)
401 - Cumming to Perimeter,A,401 - Perimeter - 0550,AM,0,,Cumming to Perimeter (AM)_Aug 22 2016  9:47:34:447AM
401 - Cumming to Perimeter,A,401 - Perimeter - 0640,AM,0,,Cumming to Perimeter (AM)_Aug 22 2016  9:47:34:447AM
401 - Cumming to Perimeter,A,401 - Perimeter - 0725,AM,0,,Cumming to Perimeter (AM)_Aug 22 2016  9:47:34:447AM
408 - Johns Creek to Chamblee,A,408 - Chamblee - 0700,AM,0,,Johns Creek to Chamblee (AM)_Jul 19 2017  9:25:58:170AM
408 - Johns Creek to Chamblee,A,408 - Chamblee - 0800,AM,0,,Johns Creek to Chamblee (AM)_Jul 19 2017  9:25:58:170AM
408 - Johns Creek to Chamblee,A,408 - Doraville - 1605,PM,0,,Johns Creek to Chamblee (PM)_Jul 19 2017  9:26:27:793AM
408 - Johns Creek to Chamblee,A,408 - Doraville - 1705,PM,0,,Johns Creek to Chamblee (PM)_Jul 19 2017  9:26:27:793AM
408 - Johns Creek to Chamblee,A,408 - Johns Creek - 0610,AM,0,,Chamblee to Johns Creek (AM)_Aug  6 2018  3:35:11:260PM
408 - Johns Creek to Chamblee,A,408 - Johns Creek - 0705,AM,0,,Chamblee to Johns Creek (AM)_Aug  6 2018  3:35:11:260PM
408 - Johns Creek to Chamblee,A,408 - Johns Creek - 1720,PM,0,,Chamblee to Johns Creek (PM)_Aug  6 2018  3:35:27:167PM
408 - Johns Creek to Chamblee,A,408 - Johns Creek - 1820,PM,0,,Chamblee to Johns Creek (PM)_Aug  6 2018  3:35:27:167PM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Lindbergh - 0610,AM,0,,Sugarloaf Mills to Lindbergh MARTA (AM)_Jul 27 2017 10:04:08:563AM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Lindbergh - 0640,AM,0,,Sugarloaf Mills to Lindbergh MARTA (AM)_Jul 27 2017 10:04:08:563AM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Lindbergh - 0710,AM,0,,Sugarloaf Mills to Lindbergh MARTA (AM)_Jul 27 2017 10:04:08:563AM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Lindbergh - 0740,AM,0,,Sugarloaf Mills to Lindbergh MARTA (AM)_Jul 27 2017 10:04:08:563AM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Sugarloaf Mills - 1540,PM,0,,Lindbergh MARTA to Sugarloaf Mills (PM)_Jul 27 2017 10:03:54:787AM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Sugarloaf Mills - 1640,PM,0,,Lindbergh MARTA to Sugarloaf Mills (PM)_Jul 27 2017 10:03:54:787AM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Sugarloaf Mills - 1710,PM,0,,Lindbergh MARTA to Sugarloaf Mills (PM)_Jul 27 2017 10:03:54:787AM
410 - Sugarloaf Mills to Lindbergh MARTA Station,A,410 - Sugarloaf Mills - 1810,PM,0,,Lindbergh MARTA to Sugarloaf Mills (PM)_Jul 27 2017 10:03:54:787AM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Mall of GA/Hamilton Mill - 1600,PM,0,,Midtown to Mall of Georgia/Hamilton Mill (PM)_Jun  6 2017  2:37:23:570PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Mall of GA/Hamilton Mill - 1630,PM,0,,Midtown to Mall of Georgia/Hamilton Mill (PM)_Jun  6 2017  2:37:23:570PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Mall of GA/Hamilton Mill - 1650,PM,0,,Midtown to Mall of Georgia/Hamilton Mill (PM)_Jun  6 2017  2:37:23:570PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Mall of GA/Hamilton Mill - 1710,PM,0,,Midtown to Mall of Georgia/Hamilton Mill (PM)_Jun  6 2017  2:37:23:570PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Mall of GA/Hamilton Mill - 1730,PM,0,,Midtown to Mall of Georgia/Hamilton Mill (PM)_Jun  6 2017  2:37:23:570PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Midtown - 0540,AM,0,,Hamilton Mill/Mall of Georgia to Midtown (AM)_Jun  6 2017  2:35:50:780PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Midtown - 0600,AM,0,,Hamilton Mill/Mall of Georgia to Midtown (AM)_Jun  6 2017  2:35:50:780PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Midtown - 0630,AM,0,,Hamilton Mill/Mall of Georgia to Midtown (AM)_Jun  6 2017  2:35:50:780PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Midtown - 0650,AM,0,,Hamilton Mill/Mall of Georgia to Midtown (AM)_Jun  6 2017  2:35:50:780PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Midtown - 0710,AM,0,,Hamilton Mill/Mall of Georgia to Midtown (AM)_Jun  6 2017  2:35:50:780PM
411 - Hamilton Mill:Mall of Georgia to Midtown,A,411 - Midtown - 0740,AM,0,,Hamilton Mill/Mall of Georgia to Midtown (AM)_Jun  6 2017  2:35:50:780PM
412 - Sugarloaf Mills to Midtown,A,412 - Midtown - 0555,AM,0,,Sugarloaf Mills to Midtown (AM)_Jul 27 2017 10:06:25:960AM
412 - Sugarloaf Mills to Midtown,A,412 - Midtown - 0625,AM,0,,Sugarloaf Mills to Midtown (AM)_Jul 27 2017 10:06:25:960AM
412 - Sugarloaf Mills to Midtown,A,412 - Midtown - 0655,AM,0,,Sugarloaf Mills to Midtown (AM)_Jul 27 2017 10:06:25:960AM
412 - Sugarloaf Mills to Midtown,A,412 - Midtown - 0725,AM,0,,Sugarloaf Mills to Midtown (AM)_Jul 27 2017 10:06:25:960AM
412 - Sugarloaf Mills to Midtown,A,412 - Midtown - 0755,AM,0,,Sugarloaf Mills to Midtown (AM)_Jul 27 2017 10:06:25:960AM
412 - Sugarloaf Mills to Midtown,A,412 - Sugarloaf Mills - 1550,PM,0,,Midtown to Sugarloaf Mills (PM)_Jul 27 2017 10:05:58:447AM
412 - Sugarloaf Mills to Midtown,A,412 - Sugarloaf Mills - 1620,PM,0,,Midtown to Sugarloaf Mills (PM)_Jul 27 2017 10:05:58:447AM
412 - Sugarloaf Mills to Midtown,A,412 - Sugarloaf Mills - 1640,PM,0,,Midtown to Sugarloaf Mills (PM)_Jul 27 2017 10:05:58:447AM
412 - Sugarloaf Mills to Midtown,A,412 - Sugarloaf Mills - 1700,PM,0,,Midtown to Sugarloaf Mills (PM)_Jul 27 2017 10:05:58:447AM
412 - Sugarloaf Mills to Midtown,A,412 - Sugarloaf Mills - 1720,PM,0,,Midtown to Sugarloaf Mills (PM)_Jul 27 2017 10:05:58:447AM
412 - Sugarloaf Mills to Midtown,A,412 - Sugarloaf Mills - 1750,PM,0,,Midtown to Sugarloaf Mills (PM)_Jul 27 2017 10:05:58:447AM
412 - Sugarloaf Mills to Midtown,A,412- Sugarloaf Mills to Midtown,AM,0,,Sugarloaf Mills to Midtown (AM)_Jul 27 2017 10:06:25:960AM
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Downtown - 0545,AM,0,,Hamilton Mill/Mall of Georgia to Downtown (AM)_Oct  3 2018  3:09:08:000PM
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Downtown - 0605,AM,0,,Hamilton Mill/Mall of Georgia to Downtown (AM)_Oct  3 2018  3:09:08:000PM
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Downtown - 0635,AM,0,,Hamilton Mill/Mall of Georgia to Downtown (AM)_Oct  3 2018  3:09:08:000PM
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Downtown - 0705,AM,0,,Hamilton Mill/Mall of Georgia to Downtown (AM)_Oct  3 2018  3:09:08:000PM
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Downtown - 0730,AM,0,,Hamilton Mill/Mall of Georgia to Downtown (AM)_Oct  3 2018  3:09:08:000PM
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Mall of GA/Hamilton Mill - 1310,PM,0,,Downtown to Mall of Georgia/Hamilton Mill (PM)
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Mall of GA/Hamilton Mill - 1340,PM,0,,Downtown to Mall of Georgia/Hamilton Mill (PM)
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Mall of GA/Hamilton Mill - 1610,PM,0,,Downtown to Mall of Georgia/Hamilton Mill (PM)
413 - Hamilton Mill:Mall of Georgia to Downtown,A,413 - Mall of GA/Hamilton Mill - 1640,PM,0,,Downtown to Mall of Georgia/Hamilton Mill (PM)
